date,listeners,streams,followers
2023-08-02,6188,9603,806
2023-08-03,6056,9416,806
2023-08-04,6179,9482,808
2023-08-05,8324,12048,808
2023-08-06,8102,11310,809
2023-08-07,8415,11962,809
2023-08-08,8657,12217,810
2023-08-09,9040,12899,811
2023-08-10,9273,13278,811
2023-08-11,9432,13601,810
2023-08-12,9294,13519,810
2023-08-13,8774,12364,812
2023-08-14,8784,12246,812
2023-08-15,9762,13418,812
2023-08-16,8614,12452,813
2023-08-17,8748,12568,813
2023-08-18,9067,13043,814
2023-08-19,9315,12970,814
2023-08-20,8314,11512,815
2023-08-21,8681,12271,815
2023-08-22,8815,12424,816
2023-08-23,8822,12446,818
2023-08-24,8900,12616,820
2023-08-25,9317,13276,821
2023-08-26,9066,13065,821
2023-08-27,7735,10798,817
2023-08-28,7836,10992,820
2023-08-29,8291,11675,820
2023-08-30,8536,12332,822
2023-08-31,8670,12645,822
2023-09-01,8847,12911,824
2023-09-02,9077,13271,826
2023-09-03,7799,11152,826
2023-09-04,8091,11621,827
2023-09-05,8713,12364,828
2023-09-06,8861,12524,829
2023-09-07,8875,12759,831
2023-09-08,9482,13375,831
2023-09-09,9323,13271,833
2023-09-10,8229,11388,833
2023-09-11,8305,11592,836
2023-09-12,8742,12369,834
2023-09-13,8889,12715,832
2023-09-14,8698,12198,832
2023-09-15,9018,12890,752
2023-09-16,8673,12180,752
2023-09-17,7357,10090,753
2023-09-18,7723,10834,753
2023-09-19,8052,11459,754
2023-09-20,8162,11564,757
2023-09-21,8027,11476,757
2023-09-22,8613,12415,759
2023-09-23,8400,11956,759
2023-09-24,7086,10050,757
2023-09-25,7743,11191,756
2023-09-26,8181,11685,760
2023-09-27,8122,11949,763
2023-09-28,8216,11815,763
2023-09-29,8444,12203,765
2023-09-30,8432,12062,765
2023-10-01,6978,9886,765
2023-10-02,7682,10976,766
2023-10-03,7800,11185,767
2023-10-04,7723,11300,768
2023-10-05,7891,11710,770
2023-10-06,8169,12249,771
2023-10-07,8017,11817,770
2023-10-08,6676,9485,677
2023-10-09,7249,10569,678
2023-10-10,7662,11411,679
2023-10-11,7626,11458,682
2023-10-12,7609,11440,682
2023-10-13,7921,12092,682
2023-10-14,7872,11689,685
2023-10-15,6501,9446,687
2023-10-16,6995,10437,687
2023-10-17,7064,10645,688
2023-10-18,7164,10694,689
2023-10-19,7345,11064,692
2023-10-20,7725,11613,694
2023-10-21,7458,11126,695
2023-10-22,6162,9151,696
2023-10-23,6694,10469,698
2023-10-24,6919,10401,700
2023-10-25,7122,10631,701
2023-10-26,6996,10626,703
2023-10-27,7402,11116,704
2023-10-28,7132,10842,707
2023-10-29,5930,8706,707
2023-10-30,6520,9714,714
2023-10-31,7264,10712,715
2023-11-01,6051,9045,716
2023-11-02,6743,10161,716
2023-11-03,6854,10550,717
2023-11-04,6833,10083,717
2023-11-05,5682,8298,717
2023-11-06,6487,10204,717
2023-11-07,6851,10145,717
2023-11-08,6805,9904,718
2023-11-09,6768,10396,723
2023-11-10,7225,11013,724
2023-11-11,6995,10355,725
2023-11-12,5673,8279,726
2023-11-13,6340,9516,728
2023-11-14,6503,9699,727
2023-11-15,6675,9940,728
2023-11-16,6722,9999,728
2023-11-17,6510,9789,728
2023-11-18,6486,9638,728
2023-11-19,5336,7856,730
2023-11-20,5759,8475,732
2023-11-21,6211,9507,732
2023-11-22,6359,9862,735
2023-11-23,6349,9844,736
2023-11-24,6503,9856,737
2023-11-25,6299,9462,737
2023-11-26,5067,7668,738
2023-11-27,5741,8475,740
2023-11-28,6052,9113,741
2023-11-29,6274,9489,745
2023-11-30,6384,9758,745
2023-12-01,6587,10081,746
2023-12-02,6245,9474,746
2023-12-03,5208,7822,746
2023-12-04,5840,8806,754
2023-12-05,5972,8953,756
2023-12-06,6047,9217,757
2023-12-07,6565,10165,758
2023-12-08,5904,9071,760
2023-12-09,6050,9224,761
2023-12-10,5206,7991,764
2023-12-11,5899,8922,761
2023-12-12,5956,9064,761
2023-12-13,6598,10105,761
2023-12-14,6202,9395,762
2023-12-15,6274,9652,762
2023-12-16,6149,9331,764
2023-12-17,5006,7720,765
2023-12-18,5663,8427,767
2023-12-19,5940,9099,769
2023-12-20,6178,9366,769
2023-12-21,6099,9455,768
2023-12-22,6430,10098,770
2023-12-23,6198,9412,772
2023-12-24,5100,7438,774
2023-12-25,4092,5872,776
2023-12-26,5115,7588,779
2023-12-27,6081,9203,779
2023-12-28,6294,9723,782
2023-12-29,6369,9931,783
2023-12-30,6380,9981,784
2023-12-31,6535,9753,786
2024-01-01,4578,6625,787
